Date,Temp,Temp Min,Temp Max,Precipitation,Type of Precip,Conditions,Description
2022-01-01,8.8,6.8,10.5,0.303,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-01-02,9.6,8.2,10.7,5.932,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-01-03,10.0,7.1,12.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-01-04,11.4,9.1,14.1,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-01-05,13.0,10.0,16.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-01-06,14.6,12.4,17.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-01-07,10.4,8.7,12.3,0.06,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-01-08,10.0,9.1,10.9,0.417,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-01-09,9.6,8.0,11.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-01-10,10.3,9.3,11.5,0.536,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2022-01-11,8.8,7.0,9.9,0.662,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-01-12,3.3,1.5,6.2,20.453,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-13,1.7,1.0,2.1,0.453,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2022-01-14,2.4,-1.1,5.0,0.0,,Partially cloudy,Clearing in the afternoon.
2022-01-15,5.2,2.1,7.9,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-01-16,3.3,-1.0,6.5,1.192,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-17,5.5,-0.5,8.9,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-01-18,5.7,2.9,9.0,0.928,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-01-19,1.8,-1.4,3.4,0.806,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-20,5.0,1.5,8.1,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-01-21,6.5,1.7,10.4,12.608,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2022-01-22,0.8,-0.5,1.9,12.49,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-23,-0.3,-1.8,2.0,1.503,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-24,-0.5,-2.7,1.7,7.737,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-25,-0.5,-2.7,0.3,15.153,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-01-26,-0.5,-6.7,2.1,50.407,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.
2022-01-27,3.0,1.0,4.7,39.513,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.
2022-01-28,4.9,2.5,6.9,0.701,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-01-29,6.1,4.2,7.5,13.753,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-01-30,4.0,-1.2,7.7,0.0,['rain'],Partially cloudy,Becoming cloudy in the afternoon.
2022-01-31,6.5,3.4,9.0,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-02-01,7.0,3.9,9.8,0.547,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-02-02,7.6,5.4,10.1,9.304,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-02-03,4.2,2.5,6.1,27.023,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-02-04,4.4,1.8,5.8,2.767,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-02-05,5.0,0.2,8.0,0.0,,Clear,Clear conditions throughout the day.
2022-02-06,7.1,5.3,9.7,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-02-07,9.5,4.1,13.1,0.196,['rain'],"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2022-02-08,6.1,3.8,10.7,40.568,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-02-09,5.3,4.0,6.9,22.336,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-02-10,5.5,1.0,9.4,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-02-11,6.2,0.7,11.7,0.0,,Clear,Clear conditions throughout the day.
2022-02-12,7.1,1.5,13.1,0.044,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-02-13,6.8,6.0,7.8,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-02-14,6.0,5.0,7.9,0.599,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2022-02-15,4.9,-0.2,9.8,0.081,['rain'],Rain,Clear conditions throughout the day with late afternoon rain.
2022-02-16,7.3,2.1,13.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-02-17,9.3,3.9,14.8,0.0,,Partially cloudy,Clearing in the afternoon.
2022-02-18,9.0,5.7,10.5,8.685,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-02-19,6.4,1.5,12.0,0.0,,Clear,Clear conditions throughout the day.
2022-02-20,10.0,3.8,13.7,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-02-21,11.2,9.1,15.1,0.0,,Partially cloudy,Clearing in the afternoon.
2022-02-22,13.0,9.6,16.8,0.093,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-02-23,9.1,7.2,11.6,8.506,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-02-24,6.1,5.6,7.1,16.066,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-02-25,6.9,6.3,7.5,10.587,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-02-26,7.9,4.9,10.1,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-02-27,7.4,6.8,8.2,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-02-28,5.7,4.0,7.1,5.313,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-03-01,3.4,2.0,4.1,1.804,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2022-03-02,4.0,2.3,5.7,1.095,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.
2022-03-03,3.9,2.7,6.3,3.587,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-03-04,7.0,3.8,9.7,1.369,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2022-03-05,6.6,3.1,9.1,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-03-06,6.9,6.0,7.8,0.012,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2022-03-07,5.7,5.0,6.7,4.722,['rain'],"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
2022-03-08,4.4,3.8,4.9,3.761,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2022-03-09,3.9,3.1,5.5,0.728,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-03-10,1.5,0.1,3.6,4.432,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2022-03-11,-0.5,-2.8,0.8,6.516,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-03-12,-1.9,-4.0,-0.6,3.729,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-03-13,0.9,-1.0,3.1,7.642,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-03-14,1.5,-3.5,5.0,0.312,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-03-15,3.9,0.4,6.7,0.0,['snow'],Partially cloudy,Partly cloudy throughout the day.
2022-03-16,5.1,2.7,7.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-03-17,5.3,2.8,8.9,4.353,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-03-18,0.9,-0.9,2.1,2.667,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-03-19,0.7,-2.4,2.9,6.359,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-03-20,3.3,0.0,6.1,5.695,"['rain', 'snow']","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
2022-03-21,4.8,3.1,6.7,0.0,['snow'],Partially cloudy,Partly cloudy throughout the day.
2022-03-22,5.1,3.3,6.8,0.494,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
2022-03-23,5.9,4.2,8.0,0.328,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-03-24,6.1,2.0,9.6,0.358,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-03-25,8.4,5.0,12.1,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-03-26,7.0,4.4,9.7,0.447,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-03-27,9.8,5.5,15.6,0.0,,Clear,Clear conditions throughout the day.
2022-03-28,9.8,4.6,16.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-03-29,13.0,8.9,18.8,0.066,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-03-30,14.0,9.5,19.3,0.0,,Clear,Clear conditions throughout the day.
2022-03-31,14.6,10.4,18.9,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-01,18.5,12.2,25.2,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-02,17.2,12.9,20.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-03,13.7,11.0,16.6,2.916,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2022-04-04,9.4,7.3,11.0,0.022,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-04-05,9.5,8.1,11.4,18.135,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-04-06,9.1,3.5,14.8,0.0,,Clear,Clear conditions throughout the day.
2022-04-07,12.0,5.8,20.2,0.808,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
2022-04-08,14.7,11.9,18.5,1.655,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-04-09,16.8,10.2,23.6,0.0,,Clear,Clear conditions throughout the day.
2022-04-10,17.6,12.4,23.1,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-11,8.5,6.6,13.2,4.794,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-04-12,9.5,7.5,11.9,4.239,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2022-04-13,9.8,4.6,13.0,0.044,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-04-14,11.2,5.6,15.4,0.0,,Clear,Clear conditions throughout the day.
2022-04-15,13.2,8.2,17.6,0.0,,Clear,Clear conditions throughout the day.
2022-04-16,14.4,9.7,18.7,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-17,11.8,9.6,15.0,3.053,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
2022-04-18,8.2,6.9,10.0,17.299,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-04-19,7.1,6.3,8.0,3.975,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
2022-04-20,9.8,4.0,15.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-21,11.0,8.3,13.1,1.33,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-04-22,14.9,10.4,19.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-23,18.6,14.7,23.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-24,16.6,11.8,21.1,0.0,,Clear,Clear conditions throughout the day.
2022-04-25,15.9,11.5,18.7,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-26,16.6,12.6,19.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-27,15.3,12.1,18.4,0.0,,Clear,Clear conditions throughout the day.
2022-04-28,14.2,11.2,17.0,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-29,14.0,11.9,16.2,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-04-30,12.6,11.9,13.1,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-01,13.3,11.9,15.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-02,13.5,11.8,15.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-03,11.6,11.2,12.6,1.972,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-05-04,11.7,10.2,14.2,0.408,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
2022-05-05,12.3,7.4,16.6,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-06,13.4,8.9,17.0,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-07,13.2,11.0,15.5,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-08,13.1,10.7,15.8,0.0,,Partially cloudy,Clearing in the afternoon.
2022-05-09,13.1,10.7,17.0,0.0,,Partially cloudy,Clearing in the afternoon.
2022-05-10,13.5,10.6,16.4,0.0,,Clear,Clear conditions throughout the day.
2022-05-11,14.7,11.7,17.5,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-12,16.8,10.2,21.7,0.0,,Clear,Clear conditions throughout the day.
2022-05-13,18.2,13.1,21.0,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-14,19.9,15.2,24.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-15,18.4,15.0,22.6,0.044,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
2022-05-16,18.5,15.9,20.4,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-17,19.6,14.0,22.5,0.0,,Clear,Clear conditions throughout the day.
2022-05-18,16.6,10.2,23.4,9.637,['rain'],"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
2022-05-19,12.9,9.4,15.5,7.125,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-05-20,15.1,9.3,18.9,0.0,,Overcast,Cloudy skies throughout the day.
2022-05-21,16.9,10.5,20.3,0.0,,Partially cloudy,Clearing in the afternoon.
2022-05-22,18.4,12.5,23.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-23,18.3,16.1,21.8,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-05-24,18.8,15.5,21.4,0.33,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
2022-05-25,19.8,16.8,23.2,0.441,['rain'],"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.
2022-05-26,21.9,17.2,26.5,0.0,['rain'],Clear,Clear conditions throughout the day.
2022-05-27,21.8,18.9,24.8,0.154,['rain'],"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
2022-05-28,22.1,17.5,26.3,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-29,24.1,19.2,27.7,0.0,['rain'],Partially cloudy,Partly cloudy throughout the day.
2022-05-30,24.6,21.2,28.8,0.0,,Partially cloudy,Partly cloudy throughout the day.
2022-05-31,22.5,19.8,25.2,0.0,,Clear,Clear conditions throughout the day.
